Horodateur,Question sur la nationalité // Question about nationality,Question sur le diplôme d'études secondaires suisse // Question about the high school diploma,"Conséquences - Si les taxes d’études devaient augmenter, devrais-tu travailler à côté des études ? // If tuition fees were to increase, would you need to work alongside your studies? ",Niveau d’augmentation - Serais-tu venu·e à l'EPFL si les taxes d'étude étaient 3 fois plus grandes ? // Would you have come to EPFL if tuition fees were 3 times bigger? ,Niveau d’augmentation - A partir de quel facteur d’augmentation est-ce qu’une augmentation des taxes d’études aurait un impact sur ton mode de vie ? // From what factor of increase would a rise in tuition fees impact your lifestyle? ,Opinion - Est-ce que tu es d'accord avec la proposition de triplement des taxes d'étude pour les étudiant·e·s étranger·ère·s ? // Do you agree with the proposal to triple the tuition fees for international students?,Remarques sur la proposition // Remarks on the proposition,Remarques diverses // Misc remarks
29/05/2024 09:55:06,J'ai la nationalité suisse // I have the Swiss nationality,J'ai un diplôme suisse // I have a Swiss diploma,Non,5,4,1,,
29/05/2024 09:55:13,J'ai la nationalité suisse // I have the Swiss nationality,J'ai un diplôme suisse // I have a Swiss diploma,Je le fais déjà,5,1,5,,
29/05/2024 09:55:14,Je n'ai ni de nationalité suisse ni de nationalité européenne // I have neither the Swiss nor a European nationality,Je n'ai pas de diplôme suisse mais j'ai un diplôme européen // I don't have a Swiss diploma but I have a European diploma,Oui,3,1,1,,
29/05/2024 09:55:15,Je n'ai ni de nationalité suisse ni de nationalité européenne // I have neither the Swiss nor a European nationality,Je n'ai pas de diplôme suisse mais j'ai un diplôme européen // I don't have a Swiss diploma but I have a European diploma,Non,5,4,3,,
29/05/2024 09:55:27,J'ai la nationalité suisse // I have the Swiss nationality,J'ai un diplôme suisse // I have a Swiss diploma,Non,5,2,4,,
29/05/2024 09:55:37,J'ai la nationalité suisse // I have the Swiss nationality,J'ai un diplôme suisse // I have a Swiss diploma,Je le fais déjà,4,3,1,,
29/05/2024 09:55:39,Je n'ai pas la nationalité suisse mais j'ai une nationalité européenne // I don't have the Swiss nationality but I have a European nationality,Je n'ai pas de diplôme suisse mais j'ai un diplôme européen // I don't have a Swiss diploma but I have a European diploma,Non,5,3,1,cette proposition va priver de l'epfl de son attractivité pour les étudiants étrangers doués et sera à long terme un détriment à son succès ,
29/05/2024 09:55:40,J'ai la nationalité suisse // I have the Swiss nationality,J'ai un diplôme suisse // I have a Swiss diploma,Non,5,5,5,,
29/05/2024 09:55:41,J'ai la nationalité suisse // I have the Swiss nationality,J'ai un diplôme suisse // I have a Swiss diploma,Je le fais déjà,3,3,2,,
29/05/2024 09:55:41,J'ai la nationalité suisse // I have the Swiss nationality,J'ai un diplôme suisse // I have a Swiss diploma,Non,5,5,5,,
29/05/2024 09:55:43,Je n'ai pas la nationalité suisse mais j'ai une nationalité européenne // I don't have the Swiss nationality but I have a European nationality,Je n'ai pas de diplôme suisse mais j'ai un diplôme européen // I don't have a Swiss diploma but I have a European diploma,Non,4,4,1,,
29/05/2024 09:55:46,Je n'ai pas la nationalité suisse mais j'ai une nationalité européenne // I don't have the Swiss nationality but I have a European nationality,Je n'ai pas de diplôme suisse mais j'ai un diplôme européen // I don't have a Swiss diploma but I have a European diploma,Non,4,4,1,,
29/05/2024 09:55:48,Je n'ai pas la nationalité suisse mais j'ai une nationalité européenne // I don't have the Swiss nationality but I have a European nationality,J'ai un diplôme suisse // I have a Swiss diploma,Je le fais déjà,1,4,1,,
29/05/2024 09:55:56,Je n'ai pas la nationalité suisse mais j'ai une nationalité européenne // I don't have the Swiss nationality but I have a European nationality,Je n'ai pas de diplôme suisse mais j'ai un diplôme européen // I don't have a Swiss diploma but I have a European diploma,Oui,2,3,1,,
29/05/2024 09:56:01,J'ai la nationalité suisse // I have the Swiss nationality,J'ai un diplôme suisse // I have a Swiss diploma,Non,5,3,5,,
29/05/2024 09:56:03,Je n'ai pas la nationalité suisse mais j'ai une nationalité européenne // I don't have the Swiss nationality but I have a European nationality,Je n'ai pas de diplôme suisse mais j'ai un diplôme européen // I don't have a Swiss diploma but I have a European diploma,Non,4,3,1,,
29/05/2024 09:56:06,J'ai la nationalité suisse // I have the Swiss nationality,Je n'ai pas de diplôme suisse mais j'ai un diplôme européen // I don't have a Swiss diploma but I have a European diploma,Non,5,5,2,,
29/05/2024 09:56:09,Je n'ai pas la nationalité suisse mais j'ai une nationalité européenne // I don't have the Swiss nationality but I have a European nationality,Je n'ai pas de diplôme suisse mais j'ai un diplôme européen // I don't have a Swiss diploma but I have a European diploma,Oui,2,3,1,,"Le conseil des EPF a voté contre, pourquoi est-ce que c’est remis en cause par le parlement ? "
29/05/2024 09:56:10,Je n'ai pas la nationalité suisse mais j'ai une nationalité européenne // I don't have the Swiss nationality but I have a European nationality,Je n'ai pas de diplôme suisse mais j'ai un diplôme européen // I don't have a Swiss diploma but I have a European diploma,Oui,3,2,1,,
29/05/2024 09:56:12,J'ai la nationalité suisse // I have the Swiss nationality,J'ai un diplôme suisse // I have a Swiss diploma,Non,4,4,2,,
29/05/2024 09:56:14,J'ai la nationalité suisse // I have the Swiss nationality,J'ai un diplôme suisse // I have a Swiss diploma,Non,4,2,2,,
29/05/2024 09:56:16,Je n'ai ni de nationalité suisse ni de nationalité européenne // I have neither the Swiss nor a European nationality,Je n'ai ni diplôme suisse ni diplôme européen // I have neither a Swiss diploma nor a European one,Oui,3,4,3,,
29/05/2024 09:56:17,Je n'ai pas la nationalité suisse mais j'ai une nationalité européenne // I don't have the Swiss nationality but I have a European nationality,Je n'ai pas de diplôme suisse mais j'ai un diplôme européen // I don't have a Swiss diploma but I have a European diploma,Oui,2,5,1,,
29/05/2024 09:56:18,Je n'ai pas la nationalité suisse mais j'ai une nationalité européenne // I don't have the Swiss nationality but I have a European nationality,Je n'ai pas de diplôme suisse mais j'ai un diplôme européen // I don't have a Swiss diploma but I have a European diploma,Non,4,2,1,,
29/05/2024 09:56:28,J'ai la nationalité suisse // I have the Swiss nationality,Je n'ai pas de diplôme suisse mais j'ai un diplôme européen // I don't have a Swiss diploma but I have a European diploma,Je le fais déjà,4,4,1,,
29/05/2024 09:56:29,Je n'ai pas la nationalité suisse mais j'ai une nationalité européenne // I don't have the Swiss nationality but I have a European nationality,Je n'ai pas de diplôme suisse mais j'ai un diplôme européen // I don't have a Swiss diploma but I have a European diploma,Oui,1,3,1,,
29/05/2024 09:56:30,Je n'ai pas la nationalité suisse mais j'ai une nationalité européenne // I don't have the Swiss nationality but I have a European nationality,Je n'ai pas de diplôme suisse mais j'ai un diplôme européen // I don't have a Swiss diploma but I have a European diploma,Oui,3,2,1,"Il me faudrait certainement travailler en parallèle de mes études, ce qui rendrait plus complexe le suivi approfondi des cours et la réussite accadémique",
29/05/2024 09:56:38,Je n'ai pas la nationalité suisse mais j'ai une nationalité européenne // I don't have the Swiss nationality but I have a European nationality,Je n'ai pas de diplôme suisse mais j'ai un diplôme européen // I don't have a Swiss diploma but I have a European diploma,Oui,2,3,1,,
29/05/2024 09:56:39,Je n'ai pas la nationalité suisse mais j'ai une nationalité européenne // I don't have the Swiss nationality but I have a European nationality,J'ai un diplôme suisse // I have a Swiss diploma,Oui,5,3,1,,
29/05/2024 09:56:44,Je n'ai ni de nationalité suisse ni de nationalité européenne // I have neither the Swiss nor a European nationality,Je n'ai pas de diplôme suisse mais j'ai un diplôme européen // I don't have a Swiss diploma but I have a European diploma,Oui,1,1,1,,
29/05/2024 09:56:55,Je n'ai pas la nationalité suisse mais j'ai une nationalité européenne // I don't have the Swiss nationality but I have a European nationality,Je n'ai pas de diplôme suisse mais j'ai un diplôme européen // I don't have a Swiss diploma but I have a European diploma,Non,2,3,1,,
29/05/2024 09:56:58,Je n'ai ni de nationalité suisse ni de nationalité européenne // I have neither the Swiss nor a European nationality,Je n'ai pas de diplôme suisse mais j'ai un diplôme européen // I don't have a Swiss diploma but I have a European diploma,Oui,3,3,1,,
29/05/2024 09:57:00,Je n'ai pas la nationalité suisse mais j'ai une nationalité européenne // I don't have the Swiss nationality but I have a European nationality,Je n'ai pas de diplôme suisse mais j'ai un diplôme européen // I don't have a Swiss diploma but I have a European diploma,Je le fais déjà,2,2,1,,
29/05/2024 09:57:01,Je n'ai pas la nationalité suisse mais j'ai une nationalité européenne // I don't have the Swiss nationality but I have a European nationality,Je n'ai pas de diplôme suisse mais j'ai un diplôme européen // I don't have a Swiss diploma but I have a European diploma,Non,2,2,1,,
29/05/2024 09:57:03,J'ai la nationalité suisse // I have the Swiss nationality,J'ai un diplôme suisse // I have a Swiss diploma,Non,4,4,1,,
29/05/2024 09:57:05,Je n'ai pas la nationalité suisse mais j'ai une nationalité européenne // I don't have the Swiss nationality but I have a European nationality,Je n'ai pas de diplôme suisse mais j'ai un diplôme européen // I don't have a Swiss diploma but I have a European diploma,Oui,3,4,1,,
29/05/2024 09:57:09,Je n'ai ni de nationalité suisse ni de nationalité européenne // I have neither the Swiss nor a European nationality,Je n'ai pas de diplôme suisse mais j'ai un diplôme européen // I don't have a Swiss diploma but I have a European diploma,Oui,3,3,1,,
29/05/2024 09:57:10,Je n'ai ni de nationalité suisse ni de nationalité européenne // I have neither the Swiss nor a European nationality,Je n'ai pas de diplôme suisse mais j'ai un diplôme européen // I don't have a Swiss diploma but I have a European diploma,Oui,2,2,1,,
29/05/2024 09:57:14,Je n'ai pas la nationalité suisse mais j'ai une nationalité européenne // I don't have the Swiss nationality but I have a European nationality,Je n'ai pas de diplôme suisse mais j'ai un diplôme européen // I don't have a Swiss diploma but I have a European diploma,Oui,2,2,1,Les étudiants étrangers participent à l’économie du pays ,
29/05/2024 09:57:18,J'ai la nationalité suisse // I have the Swiss nationality,J'ai un diplôme suisse // I have a Swiss diploma,Non,4,5,2,,
29/05/2024 09:57:22,Je n'ai pas la nationalité suisse mais j'ai une nationalité européenne // I don't have the Swiss nationality but I have a European nationality,Je n'ai pas de diplôme suisse mais j'ai un diplôme européen // I don't have a Swiss diploma but I have a European diploma,Oui,3,2,1,,
29/05/2024 09:57:33,J'ai la nationalité suisse // I have the Swiss nationality,J'ai un diplôme suisse // I have a Swiss diploma,Je le fais déjà,4,,5,,
29/05/2024 09:57:33,J'ai la nationalité suisse // I have the Swiss nationality,Je n'ai pas de diplôme suisse mais j'ai un diplôme européen // I don't have a Swiss diploma but I have a European diploma,Non,2,3,1,,
29/05/2024 09:57:35,Je n'ai pas la nationalité suisse mais j'ai une nationalité européenne // I don't have the Swiss nationality but I have a European nationality,Je n'ai pas de diplôme suisse mais j'ai un diplôme européen // I don't have a Swiss diploma but I have a European diploma,Non,5,5,5,,
29/05/2024 09:57:39,J'ai la nationalité suisse // I have the Swiss nationality,J'ai un diplôme suisse // I have a Swiss diploma,Non,5,4,1,,
29/05/2024 09:57:48,Je n'ai pas la nationalité suisse mais j'ai une nationalité européenne // I don't have the Swiss nationality but I have a European nationality,Je n'ai pas de diplôme suisse mais j'ai un diplôme européen // I don't have a Swiss diploma but I have a European diploma,Je le fais déjà,3,2,2,,
29/05/2024 09:57:50,Je n'ai pas la nationalité suisse mais j'ai une nationalité européenne // I don't have the Swiss nationality but I have a European nationality,Je n'ai pas de diplôme suisse mais j'ai un diplôme européen // I don't have a Swiss diploma but I have a European diploma,Non,4,5,2,,
29/05/2024 09:57:54,Je n'ai pas la nationalité suisse mais j'ai une nationalité européenne // I don't have the Swiss nationality but I have a European nationality,Je n'ai pas de diplôme suisse mais j'ai un diplôme européen // I don't have a Swiss diploma but I have a European diploma,Oui,1,2,1,Living in Switzerland is already very expensive. With a triple tuition fee they are only making it harder for as and a bigger burden for our families. If I knew that they would increase the fees while I was studying here I would have gone to a different country to study!,
29/05/2024 09:57:59,Je n'ai pas la nationalité suisse mais j'ai une nationalité européenne // I don't have the Swiss nationality but I have a European nationality,Je n'ai pas de diplôme suisse mais j'ai un diplôme européen // I don't have a Swiss diploma but I have a European diploma,Oui,2,2,1,,
29/05/2024 09:58:23,Je n'ai pas la nationalité suisse mais j'ai une nationalité européenne // I don't have the Swiss nationality but I have a European nationality,Je n'ai pas de diplôme suisse mais j'ai un diplôme européen // I don't have a Swiss diploma but I have a European diploma,Non,5,5,4,,
29/05/2024 09:58:24,Je n'ai ni de nationalité suisse ni de nationalité européenne // I have neither the Swiss nor a European nationality,Je n'ai ni diplôme suisse ni diplôme européen // I have neither a Swiss diploma nor a European one,Non,2,4,1,,
29/05/2024 09:58:27,Je n'ai pas la nationalité suisse mais j'ai une nationalité européenne // I don't have the Swiss nationality but I have a European nationality,Je n'ai pas de diplôme suisse mais j'ai un diplôme européen // I don't have a Swiss diploma but I have a European diploma,Oui,2,2,1,,
29/05/2024 09:58:28,Je n'ai ni de nationalité suisse ni de nationalité européenne // I have neither the Swiss nor a European nationality,Je n'ai pas de diplôme suisse mais j'ai un diplôme européen // I don't have a Swiss diploma but I have a European diploma,Oui,1,1,1,,
29/05/2024 09:58:29,Je n'ai ni de nationalité suisse ni de nationalité européenne // I have neither the Swiss nor a European nationality,Je n'ai pas de diplôme suisse mais j'ai un diplôme européen // I don't have a Swiss diploma but I have a European diploma,Non,4,5,1,"Les étudiantxs étrangers sont souvent aussi ceux en plus grande précarité financière en vivant en Suisse. Augmenter ces taxes les découragera de venir à l'EPFL, et la Suisse passera a coté de grands talents, en dehors de passer un message adverse à la diversité et l'inclusion.",
29/05/2024 09:58:31,Je n'ai ni de nationalité suisse ni de nationalité européenne // I have neither the Swiss nor a European nationality,Je n'ai pas de diplôme suisse mais j'ai un diplôme européen // I don't have a Swiss diploma but I have a European diploma,Je le fais déjà,3,3,1,"C’est l’un des éléments les plus attractifs lorsque l’on reflechis à nos etudes a l’etranger. Sachant que vivre en suisse a un cout, les frais de scolarité etaient l’élément qui equilibrait tout ca! ",
29/05/2024 09:58:37,Je n'ai pas la nationalité suisse mais j'ai une nationalité européenne // I don't have the Swiss nationality but I have a European nationality,Je n'ai pas de diplôme suisse mais j'ai un diplôme européen // I don't have a Swiss diploma but I have a European diploma,Je le fais déjà,4,2,1,"J'ai déjà du mal a payer la taxe actuelle en travaillant à côté de mes études et en économisant pendant tout le semestre. La vie en suisse est très chère pour les étrangers, augmenter la taxe me mettrait dans l'impossibilité de continuer mes études sans prêt étudiant.",
29/05/2024 09:58:39,Je n'ai pas la nationalité suisse mais j'ai une nationalité européenne // I don't have the Swiss nationality but I have a European nationality,Je n'ai pas de diplôme suisse mais j'ai un diplôme européen // I don't have a Swiss diploma but I have a European diploma,Je le fais déjà,2,2,1,"Le cout de la vie en Suisse est deja très élevé pour un non-Suisse, surtout que la bourse sociale de l'EPFL interdit l'obtention d'une bourse en 1ere année pour les non-Suisse, année difficile même sans devoir travailler à côté. ",
29/05/2024 09:58:52,Je n'ai pas la nationalité suisse mais j'ai une nationalité européenne // I don't have the Swiss nationality but I have a European nationality,Je n'ai pas de diplôme suisse mais j'ai un diplôme européen // I don't have a Swiss diploma but I have a European diploma,Oui,3,2,1,,
29/05/2024 09:58:55,Je n'ai pas la nationalité suisse mais j'ai une nationalité européenne // I don't have the Swiss nationality but I have a European nationality,Je n'ai pas de diplôme suisse mais j'ai un diplôme européen // I don't have a Swiss diploma but I have a European diploma,Oui,2,4,1,,
29/05/2024 09:58:59,J'ai la nationalité suisse // I have the Swiss nationality,J'ai un diplôme suisse // I have a Swiss diploma,Je le fais déjà,4,3,4,,
29/05/2024 09:59:00,Je n'ai pas la nationalité suisse mais j'ai une nationalité européenne // I don't have the Swiss nationality but I have a European nationality,J'ai un diplôme suisse // I have a Swiss diploma,Oui,4,3,1,,
29/05/2024 09:59:13,Je n'ai pas la nationalité suisse mais j'ai une nationalité européenne // I don't have the Swiss nationality but I have a European nationality,J'ai un diplôme suisse // I have a Swiss diploma,Oui,1,2,3,,
29/05/2024 09:59:20,J'ai la nationalité suisse // I have the Swiss nationality,J'ai un diplôme suisse // I have a Swiss diploma,Non,5,5,2,,
29/05/2024 09:59:23,J'ai la nationalité suisse // I have the Swiss nationality,J'ai un diplôme suisse // I have a Swiss diploma,,1,,1,,
29/05/2024 09:59:26,Je n'ai pas la nationalité suisse mais j'ai une nationalité européenne // I don't have the Swiss nationality but I have a European nationality,Je n'ai pas de diplôme suisse mais j'ai un diplôme européen // I don't have a Swiss diploma but I have a European diploma,Non,5,,5,,
29/05/2024 09:59:27,Je n'ai pas la nationalité suisse mais j'ai une nationalité européenne // I don't have the Swiss nationality but I have a European nationality,Je n'ai pas de diplôme suisse mais j'ai un diplôme européen // I don't have a Swiss diploma but I have a European diploma,Je le fais déjà,4,3,2,,
29/05/2024 09:59:31,Je n'ai pas la nationalité suisse mais j'ai une nationalité européenne // I don't have the Swiss nationality but I have a European nationality,Je n'ai pas de diplôme suisse mais j'ai un diplôme européen // I don't have a Swiss diploma but I have a European diploma,Non,5,,5,,
29/05/2024 09:59:32,Je n'ai pas la nationalité suisse mais j'ai une nationalité européenne // I don't have the Swiss nationality but I have a European nationality,Je n'ai pas de diplôme suisse mais j'ai un diplôme européen // I don't have a Swiss diploma but I have a European diploma,Oui,2,4,1,I think that the internationality aspect of EPFL could decrease. EPFL could loose a lot of quality because of that,
29/05/2024 09:59:32,J'ai la nationalité suisse // I have the Swiss nationality,J'ai un diplôme suisse // I have a Swiss diploma,Je le fais déjà,5,2,1,"Les coûts de l'EPFL permet à de très nombreux étudiants étrangers d'avoir accès à des études de haute qualité, ce qui est une des grandes qualités des ETH. Limiter l'accès uniquement aux personnes ayant les ressources financières est une honte et un blocage de l'accès aux études",
29/05/2024 09:59:33,Je n'ai pas la nationalité suisse mais j'ai une nationalité européenne // I don't have the Swiss nationality but I have a European nationality,Je n'ai pas de diplôme suisse mais j'ai un diplôme européen // I don't have a Swiss diploma but I have a European diploma,Oui,1,2,1,,
29/05/2024 09:59:35,Je n'ai ni de nationalité suisse ni de nationalité européenne // I have neither the Swiss nor a European nationality,Je n'ai ni diplôme suisse ni diplôme européen // I have neither a Swiss diploma nor a European one,Oui,4,2,1,,
29/05/2024 09:59:35,J'ai la nationalité suisse // I have the Swiss nationality,J'ai un diplôme suisse // I have a Swiss diploma,Non,5,3,3,,
29/05/2024 09:59:43,Je n'ai pas la nationalité suisse mais j'ai une nationalité européenne // I don't have the Swiss nationality but I have a European nationality,Je n'ai pas de diplôme suisse mais j'ai un diplôme européen // I don't have a Swiss diploma but I have a European diploma,Je le fais déjà,2,2,1,,
29/05/2024 09:59:44,J'ai la nationalité suisse // I have the Swiss nationality,J'ai un diplôme suisse // I have a Swiss diploma,Non,5,4,1,,
29/05/2024 09:59:44,Je n'ai pas la nationalité suisse mais j'ai une nationalité européenne // I don't have the Swiss nationality but I have a European nationality,Je n'ai pas de diplôme suisse mais j'ai un diplôme européen // I don't have a Swiss diploma but I have a European diploma,Je le fais déjà,4,2,2,,
29/05/2024 09:59:45,Je n'ai ni de nationalité suisse ni de nationalité européenne // I have neither the Swiss nor a European nationality,Je n'ai ni diplôme suisse ni diplôme européen // I have neither a Swiss diploma nor a European one,Non,2,2,1,,
29/05/2024 09:59:45,Je n'ai ni de nationalité suisse ni de nationalité européenne // I have neither the Swiss nor a European nationality,Je n'ai ni diplôme suisse ni diplôme européen // I have neither a Swiss diploma nor a European one,Oui,2,3,1,,
29/05/2024 09:59:49,J'ai la nationalité suisse // I have the Swiss nationality,J'ai un diplôme suisse // I have a Swiss diploma,Non,5,5,5,,
29/05/2024 09:59:50,Je n'ai pas la nationalité suisse mais j'ai une nationalité européenne // I don't have the Swiss nationality but I have a European nationality,Je n'ai pas de diplôme suisse mais j'ai un diplôme européen // I don't have a Swiss diploma but I have a European diploma,Je le fais déjà,4,2,1,,
29/05/2024 09:59:51,Je n'ai pas la nationalité suisse mais j'ai une nationalité européenne // I don't have the Swiss nationality but I have a European nationality,Je n'ai pas de diplôme suisse mais j'ai un diplôme européen // I don't have a Swiss diploma but I have a European diploma,Oui,2,2,1,,
29/05/2024 09:59:59,J'ai la nationalité suisse // I have the Swiss nationality,J'ai un diplôme suisse // I have a Swiss diploma,Je le fais déjà,5,5,5,"Take a look at the US, even 10x more would be still correct for such great studies",
29/05/2024 10:00:01,Je n'ai pas la nationalité suisse mais j'ai une nationalité européenne // I don't have the Swiss nationality but I have a European nationality,Je n'ai pas de diplôme suisse mais j'ai un diplôme européen // I don't have a Swiss diploma but I have a European diploma,Non,2,4,,,
29/05/2024 10:00:13,Je n'ai pas la nationalité suisse mais j'ai une nationalité européenne // I don't have the Swiss nationality but I have a European nationality,Je n'ai pas de diplôme suisse mais j'ai un diplôme européen // I don't have a Swiss diploma but I have a European diploma,Non,3,,2,,
29/05/2024 10:00:18,Je n'ai pas la nationalité suisse mais j'ai une nationalité européenne // I don't have the Swiss nationality but I have a European nationality,Je n'ai pas de diplôme suisse mais j'ai un diplôme européen // I don't have a Swiss diploma but I have a European diploma,Je le fais déjà,4,2,1,,
29/05/2024 10:00:28,Je n'ai pas la nationalité suisse mais j'ai une nationalité européenne // I don't have the Swiss nationality but I have a European nationality,Je n'ai pas de diplôme suisse mais j'ai un diplôme européen // I don't have a Swiss diploma but I have a European diploma,Oui,2,2,1,,
29/05/2024 10:00:30,Je n'ai ni de nationalité suisse ni de nationalité européenne // I have neither the Swiss nor a European nationality,Je n'ai pas de diplôme suisse mais j'ai un diplôme européen // I don't have a Swiss diploma but I have a European diploma,Oui,2,4,1,,
29/05/2024 10:00:35,Je n'ai pas la nationalité suisse mais j'ai une nationalité européenne // I don't have the Swiss nationality but I have a European nationality,Je n'ai pas de diplôme suisse mais j'ai un diplôme européen // I don't have a Swiss diploma but I have a European diploma,Oui,4,2,2,,
29/05/2024 10:00:36,J'ai la nationalité suisse // I have the Swiss nationality,J'ai un diplôme suisse // I have a Swiss diploma,Je le fais déjà,5,5,5,C'est normal que les impôts des suisses ne financent pas autant les études des étrangers,
29/05/2024 10:00:39,Je n'ai pas la nationalité suisse mais j'ai une nationalité européenne // I don't have the Swiss nationality but I have a European nationality,Je n'ai pas de diplôme suisse mais j'ai un diplôme européen // I don't have a Swiss diploma but I have a European diploma,Oui,1,1,1,,
29/05/2024 10:00:51,Je n'ai ni de nationalité suisse ni de nationalité européenne // I have neither the Swiss nor a European nationality,Je n'ai pas de diplôme suisse mais j'ai un diplôme européen // I don't have a Swiss diploma but I have a European diploma,Je le fais déjà,1,1,1,,
29/05/2024 10:00:52,Je n'ai ni de nationalité suisse ni de nationalité européenne // I have neither the Swiss nor a European nationality,Je n'ai pas de diplôme suisse mais j'ai un diplôme européen // I don't have a Swiss diploma but I have a European diploma,Oui,1,2,1,,
29/05/2024 10:00:52,J'ai la nationalité suisse // I have the Swiss nationality,J'ai un diplôme suisse // I have a Swiss diploma,Non,5,5,1,Cest la porte ouverte à toutes les fenêtres si ça augmente mtn ça augmentera encore dans le futur les étudiants internationaux ne doivent pas devenir des vaches à lait,Non
29/05/2024 10:00:54,Je n'ai pas la nationalité suisse mais j'ai une nationalité européenne // I don't have the Swiss nationality but I have a European nationality,Je n'ai pas de diplôme suisse mais j'ai un diplôme européen // I don't have a Swiss diploma but I have a European diploma,Je le fais déjà,2,2,1,,
29/05/2024 10:01:00,Je n'ai pas la nationalité suisse mais j'ai une nationalité européenne // I don't have the Swiss nationality but I have a European nationality,Je n'ai pas de diplôme suisse mais j'ai un diplôme européen // I don't have a Swiss diploma but I have a European diploma,Oui,3,3,2,"3x is a very steep increase at once. Taking into consideration the difficulties with financing higher education, I think that a 2x increase could be a middle ground, that is more manageable for the students.",
29/05/2024 10:01:02,Je n'ai pas la nationalité suisse mais j'ai une nationalité européenne // I don't have the Swiss nationality but I have a European nationality,Je n'ai pas de diplôme suisse mais j'ai un diplôme européen // I don't have a Swiss diploma but I have a European diploma,Oui,4,2,3,,
29/05/2024 10:01:05,J'ai la nationalité suisse // I have the Swiss nationality,J'ai un diplôme suisse // I have a Swiss diploma,Non,5,3,5,"L'EPFL étant en grande partie financée par le contribuable, je trouve ça normal que ceux qui n'y contribuent pas paient plus, surtout dans un contexte où l'école est surpeuplée. Quand on regarde les classements internationaux, toutes les écoles du même standing ont des frais bien plus élevés, et souvent supérieurs pour les étudiants internationaux. ",
29/05/2024 10:01:08,J'ai la nationalité suisse // I have the Swiss nationality,J'ai un diplôme suisse // I have a Swiss diploma,Je le fais déjà,2,2,1,,
29/05/2024 10:01:08,Je n'ai pas la nationalité suisse mais j'ai une nationalité européenne // I don't have the Swiss nationality but I have a European nationality,Je n'ai pas de diplôme suisse mais j'ai un diplôme européen // I don't have a Swiss diploma but I have a European diploma,Non,3,3,1,,
